client_time,device_time,data_type,data_value
1666161004569,337204,'CO2',1576.0
1666161010562,343329,'TEMPERATURE',18.76
1666161010604,343330,'HUMIDITY',65.18
1666161010606,343339,'LIGHT',933.33
1666161010750,343346,'CO2',1576.0
1666161016801,349471,'TEMPERATURE',18.76
1666161016801,349472,'HUMIDITY',65.18
1666161016802,349481,'LIGHT',930.83
1666161016803,349488,'CO2',1575.0
1666161022840,355613,'TEMPERATURE',18.76
1666161022891,355614,'HUMIDITY',65.18
1666161022894,355623,'LIGHT',929.99
1666161022939,355630,'CO2',1576.0
1666161029032,361755,'TEMPERATURE',18.76
1666161029096,361756,'HUMIDITY',65.18
1666161029130,361765,'LIGHT',933.33
1666161029131,361772,'CO2',1575.0
1666161035132,367897,'TEMPERATURE',18.76
1666161035133,367898,'HUMIDITY',65.18
1666161035272,367907,'LIGHT',930.83
1666161035273,367914,'CO2',1587.0
1666161041317,374039,'TEMPERATURE',18.76
1666161041366,374040,'HUMIDITY',65.18
1666161041369,374049,'LIGHT',931.66
1666161041371,374056,'CO2',1604.0
1666161047459,380181,'TEMPERATURE',18.76
1666161047557,380182,'HUMIDITY',65.18
1666161047559,380191,'LIGHT',931.66
1666161047560,380198,'CO2',1610.0
1666161053553,386323,'TEMPERATURE',18.76
1666161053554,386324,'HUMIDITY',65.18
1666161053700,386333,'LIGHT',932.49
1666161053701,386340,'CO2',1610.0
1666161059697,392465,'TEMPERATURE',18.76
1666161059746,392466,'HUMIDITY',65.18
1666161059747,392475,'LIGHT',929.99
1666161059797,392482,'CO2',1609.0
1666161065937,398607,'TEMPERATURE',18.76
1666161065938,398608,'HUMIDITY',65.18
1666161065984,398617,'LIGHT',930.83
1666161065985,398624,'CO2',1608.0
1666161072078,404749,'TEMPERATURE',18.76
1666161072127,404750,'HUMIDITY',65.18
1666161072129,404759,'LIGHT',932.49
1666161072130,404766,'CO2',1608.0
1666161078123,410891,'TEMPERATURE',18.76
1666161078125,410892,'HUMIDITY',65.18
1666161078227,410901,'LIGHT',929.99
1666161078228,410908,'CO2',1609.0
1666161084268,417033,'TEMPERATURE',18.76
1666161084269,417034,'HUMIDITY',65.18
1666161084372,417043,'LIGHT',930.83
1666161084373,417050,'CO2',1610.0
1666161090407,423175,'TEMPERATURE',18.76
1666161090410,423176,'HUMIDITY',65.18
1666161090411,423185,'LIGHT',927.49
1666161090413,423192,'CO2',1610.0
1666161096603,429317,'TEMPERATURE',18.76
1666161096698,429318,'HUMIDITY',65.18
1666161096700,429327,'LIGHT',929.16
1666161096701,429334,'CO2',1610.0
1666161102695,435459,'TEMPERATURE',18.76
1666161102743,435460,'HUMIDITY',65.18
1666161102795,435469,'LIGHT',924.16
1666161102797,435476,'CO2',1609.0
1666161108837,441601,'TEMPERATURE',18.76
1666161108884,441602,'HUMIDITY',65.18
1666161108932,441611,'LIGHT',924.99
1666161108934,441618,'CO2',1612.0
1666161115027,447743,'TEMPERATURE',18.76
1666161115075,447744,'HUMIDITY',65.18
1666161115124,447753,'LIGHT',919.16
1666161115127,447760,'CO2',1611.0
1666161121170,453884,'TEMPERATURE',18.76
1666161121219,453885,'HUMIDITY',65.18
1666161121220,453894,'LIGHT',928.33
1666161121222,453901,'CO2',1613.0
1666161127312,460026,'TEMPERATURE',18.76
1666161127360,460027,'HUMIDITY',65.18
1666161127361,460036,'LIGHT',927.49
1666161127362,460043,'CO2',1614.0
1666161133454,466168,'TEMPERATURE',18.76
1666161133503,466169,'HUMIDITY',65.18
1666161133552,466178,'LIGHT',928.33
1666161133553,466185,'CO2',1615.0
1666161139547,472309,'TEMPERATURE',18.76
1666161139549,472310,'HUMIDITY',65.18
1666161139550,472319,'LIGHT',927.49
1666161139551,472326,'CO2',1623.0
1666161145690,478451,'TEMPERATURE',18.76
1666161145788,478452,'HUMIDITY',65.18
1666161145789,478461,'LIGHT',929.16
1666161145790,478466,'CO2',1635.0
1666161151833,484591,'TEMPERATURE',18.76
1666161151883,484592,'HUMIDITY',65.18
1666161151935,484601,'LIGHT',927.49
1666161151936,484606,'CO2',1642.0
1666161157976,490731,'TEMPERATURE',18.76
1666161158025,490732,'HUMIDITY',65.18
1666161158027,490741,'LIGHT',926.66
1666161158028,490748,'CO2',1652.0
1666161164117,496873,'TEMPERATURE',18.76
1666161164167,496874,'HUMIDITY',65.18
1666161164168,496883,'LIGHT',932.49
1666161164264,496890,'CO2',1652.0
1666161170260,503014,'TEMPERATURE',18.76
1666161170261,503015,'HUMIDITY',65.18
1666161170358,503024,'LIGHT',929.16
1666161170360,503029,'CO2',1653.0
1666161176508,509154,'TEMPERATURE',18.76
1666161176509,509155,'HUMIDITY',65.18
1666161176510,509163,'LIGHT',930.83
1666161176511,509170,'CO2',1655.0
1666161182607,515294,'TEMPERATURE',18.76
1666161182643,515295,'HUMIDITY',65.18
1666161182710,515304,'LIGHT',930.83
1666161182712,515310,'CO2',1657.0
1666161188687,521434,'TEMPERATURE',18.76
1666161188736,521435,'HUMIDITY',65.18
1666161188786,521443,'LIGHT',932.49
1666161188788,521450,'CO2',1657.0
1666161194781,527575,'TEMPERATURE',18.76
1666161194831,527576,'HUMIDITY',65.18
1666161194890,527584,'LIGHT',930.83
1666161194892,527591,'CO2',1657.0
1666161200923,533716,'TEMPERATURE',18.76
1666161200925,533717,'HUMIDITY',65.18
1666161200973,533724,'LIGHT',929.99
1666161200974,533733,'CO2',1660.0
1666161207073,539857,'TEMPERATURE',18.76
1666161207074,539858,'HUMIDITY',65.18
1666161207165,539865,'LIGHT',929.16
1666161207212,539873,'CO2',1669.0
1666161213259,545997,'TEMPERATURE',18.76
1666161213260,545998,'HUMIDITY',65.18
1666161213261,546005,'LIGHT',929.99
1666161213262,546012,'CO2',1669.0
1666161219353,552136,'TEMPERATURE',18.76
1666161219354,552137,'HUMIDITY',65.18
1666161219355,552146,'LIGHT',930.83
1666161219399,552151,'CO2',1667.0
1666161225493,558276,'TEMPERATURE',18.76
1666161225494,558277,'HUMIDITY',65.18
1666161225647,558286,'LIGHT',930.83
1666161225688,558292,'CO2',1658.0
1666161231638,564417,'TEMPERATURE',18.76
1666161231639,564418,'HUMIDITY',65.18
1666161231639,564427,'LIGHT',930.83
1666161231640,564433,'CO2',1656.0
1666161237778,570557,'TEMPERATURE',18.76
1666161237780,570558,'HUMIDITY',65.18
1666161237780,570567,'LIGHT',929.99
1666161237781,570573,'CO2',1656.0
1666161243920,576698,'TEMPERATURE',18.76
1666161243922,576699,'HUMIDITY',65.18
1666161244019,576708,'LIGHT',929.99
1666161244066,576713,'CO2',1656.0
1666161250064,582838,'TEMPERATURE',18.76
1666161250112,582839,'HUMIDITY',65.18
1666161250164,582848,'LIGHT',930.83
1666161250165,582855,'CO2',1656.0
1666161256213,588980,'TEMPERATURE',18.76
1666161256213,588981,'HUMIDITY',65.18
1666161256254,588990,'LIGHT',929.99
1666161256303,588997,'CO2',1657.0
1666161262350,595122,'TEMPERATURE',18.76
1666161262351,595123,'HUMIDITY',65.18
1666161262353,595132,'LIGHT',929.99
1666161262396,595139,'CO2',1656.0
1666161268490,601264,'TEMPERATURE',18.76
1666161268540,601265,'HUMIDITY',65.18
